"Who has voted?";"Who voted?"
"Sorry, you cannot rate this content.";"Sorry, you are not allowed to rate this item."
"Sorry, guests cannot rate. Please login to continue.";"Sorry, guests are not allowed to rate, please login to continue."
"Sorry, you cannot rate own content.";"Sorry, you cannot rate own content."
"You have successfully rated this content.";"You have successfully rated this item."

"vote";"vote";"votes"
"Score:";"Score:"
"Loading ...";"Loading ..."
"Who has voted?";"Who has voted?"
"Everyone";"Everyone"
"Friends";"Friends"

"Rates Plugin";"Rates Plugin"
"Member Level Settings";"Member Level Settings"
"Ratings level settings";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Member Level";"Member Level"
"Allow Rate of content?";"Allow to Rate Content?"
"RATE_FORM_ADMIN_LEVEL_VIEW_DESCRIPTION";"Below you can manage which member level is allowed or not allowed to rate."
"No, do not allow content to be rated.";"No, do not allow content to be rated."
"Yes, allow rate content.";"Yes, allow rate content."
"Save Settings";"Save Settings"

"Global Settings";"Global Settings"
"RATE_REVIEW_These settings affect all members in your community.";"These settings affect all members in your community.<br /> Rates plugin has great Reviews feature which works in Business Pages so if you have <a href='http://www.hire-experts.com/social-engine/pages-se4-plugin' target='_blank'>Pages plugin</a> then you get functional and stylish Reviews feature instead of common rates. Please check and purchase Pages plugin <a href='http://www.hire-experts.com/social-engine/pages-se4-plugin' target='_blank'>Pages plugin</a>. Note: reviews are shown only on Pages, on the rest pages it shows only rates."
"Profile Min Votes";"Minimum votes count to be listed"
"Profile Max Items";"Members number in widget"
"Profile Settings";"Member Settings"
"Group Min Votes";"Minimum votes count to be listed"
"Group Max Items";"Groups number in widget"
"Group Settings";"Group Settings"
"Event Min Votes";"Minimum votes count to be listed"
"Event Max Items";"Events number in widget"
"Event Settings";"Event Settings"
"Quiz Min Votes";"Minimum votes count to be listed"
"Quiz Max Items";"Quizzes number in widget"
"Quiz Settings";"Quiz Settings"
"Enable Widget";"Enable Widget"
"Album Min Votes";"Minimum votes count to be listed"
"Album Max Items";"Photos number in widget"
"Album Settings";"Album Settings"
"Blog Min Votes";"Minimum votes count to be listed"
"Blog Max Items";"Blogs number in widget"
"Blog Settings";"Blog Settings"
"Page Min Votes";"Minimum votes count to be listed"
"Page Max Items";"Pages number in widget"

"Rate This";"Rate This"
"Displays a member's polls on their profile.";"Displays a member's polls on their profile."
"Profile Most Rated";"Most Rated Profiles"
"Profile";"Profile"
"Quiz Most Rated";"Most Rated Quizzes"
"Quiz";"Quiz"
"Group Most Rated";"Most Rated Groups"
"Group";"Group"
"Events Most Rated";"Most Rated Events"
"Events";"Events"
"Blogs Most Rated";"Most Rated Blogs"
"Blogs";"Blogs"
"Album Photos Most Rated";"Most Rated Photos"
"Album Photos";"Album Photos"
"Pages Most Rated";"Most Rated Pages"
"Pages";"Pages"
"rate_album_photo_enabled";"Allow to rate album photos"
"rate_blog_enabled";"Allow to rate blogs"

"RATE_ADMIN_MANAGE_FAQ";"Rates plugin has great option - it allows to show ratings on browse members/photos/blogs/etc pages. If you would like to show the current rate of each photo in browse photos page(the same for members, events, groups, etc) then you need to put Rates plugin code snippets(edit files). It doesn't requires special skills, just carefully follow instructions below OR if you would like professional set up then please purchase plugin installation service at <a href='http://www.hire-experts.com/social-engine-customization' target='_blank'>Hire-Experts.com</a>:<br/>
- turn on ""Development Mode"" for your site system<br/>
- just open specified file, find red-highlighted code snippet and replace it with green-highlighted code snippet. Note, that these instructions work for original files, if you have customized your files then check original file to make appropriate changes.<br/>
- open in browser the pages where you've put rates in<br/>
- turn off ""Development Mode"" for your site system<br/>
Please be accurate while making such customizations and backup your original files - it is highly recommended. Please feel free to contact our support team at Hire-Experts.com if you have any questions or problems"
"File:";"File - "
