"Login to your account";"Login to your account"
"<span><a target='_top' href='%s'>Forgot Password?</a></span>";"<span><a target='_top' href='%s'>Forgot Password?</a></span>"
"<div id='dont_have_account'>Don't have an account? <a target='_top' href='%s'><button type='button'>Sign-up</button></a></div>";"<div id='dont_have_account'>Don't have an account? <a target='_top' href='%s'><button type='button'>Sign-up</button></a></div>"
"HeLoginPopup plugin";"HeLoginPopup plugin"
"He - Login Popup";"HE - Login Popup"
"Max Date";"Max Days"
"How often Login Popup appears in the site.";"How often Login Popup appears in the site."
"Save";"Save"
"Connect Facebook";"Connect Facebook"
"Connect Twitter";"Connect Twitter"
"Connect with:";"Connect with:"
"or, login using your email address:";"or, login using your email address:"
