
"WALL_Share"; "Share"
"WALL_Post Something..."; "Post Something..."
"WALL_LIST"; "Lists"
"WALL_EMPTY_FEED"; "Nothing has been posted here yet - be the first!"

"WALL_SHARE_FACEBOOK"; "Share to Facebook"
"WALL_SHARE_TWITTER"; "Share to Twitter"

"WALL_SHARE_FACEBOOK_ACTIVE"; "Share to Facebook.<br />User Account: %1$s (<a href='javascript:void(0)' class='wall_logout'>Logout</a>).<br />Please click to choose an account"
"WALL_SHARE_TWITTER_ACTIVE"; "Share to Twitter.<br />User Account: %1$s (<a href='javascript:void(0)' class='wall_logout'>Logout</a>). <br />Please click to choose an account"
"WALL_FACEBOOK_POST_ACTION_TITLE"; "%1$s: Activity Feed"

"WALL_LOADING"; "Loading ..."

"WALL_STREAM_EMPTY_VIEWALL"; "There are no posts"
"WALL_STREAM_EMPTY"; "Nothing has been posted here yet - be the first!"

"WALL_EMPTY_FEED"; "Nothing has been posted here yet - be the first!"

"WALL_ADMIN_MAIN_PLUGINS_WALL"; "HE - Wall"
"WALL_ADMIN_MAIN_HEADER_TITLE"; "Wall Plugin"
"WALL_ADMIN_MAIN_HEADER_DESCRIPTION"; "It provides a great AJAX wall for SocialEngine, you can view the plugin details <a href='http://www.hire-experts.com/social-engine/new-wall-plugin' target='_blank'>here</a>. Also it is recommended to check FAQ for Wall plugin set up on My Plugins section at Hire-Experts.com - <a href='http://www.hire-experts.com/my_plugins.php' target='_blank'>http://www.hire-experts.com/my_plugins.php</a><br />
Below you can view list of plugin settings - they are configured by default but you can edit them according to your needs. If you would like to enable Facebook and Twitter auto-posting and feeds, then please configure them at the page bottom.<br /><br />
<span style='font-weight:bold'>We Recommend:</span><br />
<a href='http://www.hire-experts.com/social-engine/touch-mobile-plugin' target='_blank'>Touch-Mobile plugin</a> - it smoothly integrated with Wall plugin. It allows members to do almost all things of wall via mobile devices. It is really powerful, user friendly and attractive. Please check details <a href='http://www.hire-experts.com/social-engine/touch-mobile-plugin' target='_blank'>here</a>. Note: it is an optional plugin.<br />
<a href='http://www.hire-experts.com/social-engine/check-in-plugin' target='_blank'>Check-In plugin</a> - allows your members to share their location. It is lightweight and attractive plugin. Note: it is an optional plugin.<br />
<a href='http://www.hire-experts.com/social-engine/timeline-plugin' target='_blank'>Timeline plugin</a> provides a new kind of profile page, it is beautiful and easy on the eyes. Note: it is an optional plugin.<br />
<a href='http://www.hire-experts.com/social-engine/rates-plugin' target='_blank'>Rates plugin</a> - if you would like to provide rating and reviews option to your members. Note: it is an optional plugin.<br />"

"WALL_ADMIN_MAIN_SETTING"; "Global Settings"
"WALL_ADMIN_MAIN_ACTIVITY"; "Activity Feed Settings"

"WALL_FACEBOOK_FORM_TITLE"; "Facebook Integration"
"WALL_FACEBOOK_FORM_DESCRIPTION"; "Wall plugin allows your members to view their Facebook feed and automatically post to Facebook in SocialEngine wall. To do so, create an Application through the <a target='_blank' href='http://www.facebook.com/developers/apps.php'>Facebook Developers</a> page."

"WALL_FACEBOOK_CLIENT_ID"; "Facebook App ID"
"WALL_FACEBOOK_CLIENT_ID_DESCRIPTION"; ""

"WALL_FACEBOOK_CLIENT_SECRET"; "Facebook App Secret"
"WALL_FACEBOOK_CLIENT_SECRET_DESCRIPTION"; ""

"WALL_TWITTER_FORM_TITLE"; "Twitter Integration"
"WALL_TWITTER_FORM_DESCRIPTION"; "Wall plugin allows your members to view their Twitter feed and automatically post tweets to Twitter in SocialEngine wall. To do so, create an Application through the <a target='_blank' href='https://dev.twitter.com/apps/new'>Twitter Developers</a> page. <b style='font-weight: bold;'>You will need to select 'Read &amp; Write' in order to allow posting to Twitter.</b> Please use the following Callback URL: %1$s</p>"

"WALL_FACEBOOK_FORM_ENABLED"; "Enabled Integration"
"WALL_TWITTER_FORM_ENABLED"; "Enabled Integration"


"WALL_TWITTER_CLIENT_ID"; "Twitter App Consumer Key"
"WALL_TWITTER_CLIENT_SECRET"; "Twitter App Consumer Secret"
"WALL_TWITTER_CLIENT_ID_DESCRIPTION"; ""
"WALL_TWITTER_CLIENT_SECRET_DESCRIPTION"; ""


"WALL_LIKE"; "Like"
"WALL_UNLIKE"; "Unlike"



"%1$s is now friends with %2$s and %3$s"; "%1$s is now friends with %2$s and %3$s"
"%1$s likes %2$s and %3$s"; "%1$s likes %2$s and %3$s"


"%1$s is now friends with %2$s and %3$s"; "%1$s is now friends with %2$s and %3$s"
"%1$s likes %2$s and %3$s"; "%1$s likes %2$s and %3$s"

"%1$s other people"; "%1$s other people"; "%1$s other people"
"%1$s other page"; "%1$s other page"; "%1$s other pages"

"%s like"; "%s like"; "%s likes"
"%s mutual friend"; "%s mutual friend"; "%s mutual friends"
"%s friend"; "%s friend"; "%s friends"
"%s member"; "%s member"; "%s members"


"WALL_RECENT"; "Most Recent"
"WALL_TYPE_PAGE"; "Pages"
"WALL_TYPE_FRIEND"; "Friends"
"WALL_TYPE_PHOTO"; "Photos"
"WALL_TYPE_STATUS"; "Status"
"WALL_TYPE_CREATE_NEW"; "Create a new list"

"WALL_LIST_ALL"; "All"
"WALL_LIST_MEMBER"; "Members"
"WALL_LIST_PAGE"; "Pages"
"WALL_LIST_GROUP"; "Groups"
"WALL_LIST_SELECTED"; "Selected"

"WALL_LIST_CREATE_HEADER_TITLE"; "Create New List"
"WALL_LIST_CREATE_HEADER_DESCRIPTION"; "Choose items from drop down list"
"WALL_LIST_LABEL"; "Label"

"WALL_LIST_EDIT_HEADER_TITLE"; "Edit List"
"WALL_LIST_EDIT_HEADER_DESCRIPTION"; "Choose items from drop down list"
"WALL_LIST_LABEL"; "Label"


"WALL_LIST_CREATE_ERROR"; "An error occurred. Check form fields and try again or you do not have enough permissions."
"WALL_LIST_CREATE_SUCCESS"; "List has been saved"
"WALL_ERROR"; "An error occurred"


"WALL_LIST_EMPTY"; "No results were found."
"WALL_LIST_EMPTY_SEARCH"; "No results were found."
"WALL_LIST_SELECTED_EMPTY"; "No one selected"


"WALL_CONFIRM_ACTION_REMOVE_TITLE"; "Delete"
"WALL_CONFIRM_ACTION_REMOVE_DESCRIPTION"; "Are you sure you want to delete this activity?"

"WALL_CONFIRM_COMMENT_REMOVE_TITLE"; "Delete"
"WALL_CONFIRM_COMMENT_REMOVE_DESCRIPTION"; "Are you sure you want to delete this comment?"

"WALL_CONFIRM_LIST_REMOVE_TITLE"; "Delete"
"WALL_CONFIRM_LIST_REMOVE_DESCRIPTION"; "Are you sure you want to delete this list?"

"WALL_COMMENT_COUNT"; "%1$s from %2$s"
"WALL_COMMENT_NEXT"; "View previous comments"

"WALL_STREAM_SOCIAL"; "What's New"
"WALL_STREAM_FACEBOOK"; "Facebook"
"WALL_STREAM_TWITTER"; "Twitter"
"WALL_STREAM_LINKEDIN"; "Linkedin"


"WALL_STREAM_FACEBOOK_LOGIN"; "Please login this social network. %1$sClick this%2$s"
"WALL_STREAM_TWITTER_LOGIN"; "Please login this social network. %1$sClick this%2$s"
"WALL_STREAM_LINKEDIN_LOGIN"; "Please login this social network. %1$sClick this%2$s"


"WALL_REFRESH"; "Refresh"
"WALL_TYPES_TITLE"; "You can create and edit list"
"WALL_SERVICE_STREAM_EMPTY"; "Empty Messages"
"WALL_GROUPED_TITLE"; "Click to View"




"WALL_ITEMS_LIKE_HEADER_TITLE"; "People who like this"
"WALL_ITEMS_LIKE_HEADER_DESCRIPTION"; ""

"WALL_CAMERA_FREEZE"; "Shoot!"
"WALL_CAMERA_CANCEL"; "Cancel"
