"ITEM_TYPE_DISCUSSION";"Discussions"
"ITEM_TYPE_ARTICLE";"Article"
"AS_Nothing found";"Nothing found"
"AS_Advanced Search";"HE - Advanced Search"
"AS_Advanced Search Configuration";"Advanced Search Configuration"
"AS_Save changes";"Save changes"
"AS_Search types";"Search types"
"AS_Items icons";"Item icons"
"AS_item";"Item"
"AS_icon";"Icon"
"AS_change";"Change"
"AS_Changes saved";"Changes saved"
"AS_more";"More"
"ITEM_TYPE_MUSIC";"Music"
"ITEM_TYPE_VIDEO";"Videos"
"ITEM_TYPE_REVIEW";"Reviews"
"ITEM_TYPE_EVENT";"Events"
"ITEM_TYPE_ALBUM";"Albums"
"ITEM_TYPE_BLOG";"Blogs"
"ITEM_TYPE_QUIZ_RESULT";"Quiz Result"
"Select/Deselect All";"Select/Deselect All"
"AS_Add items which will be included in search";"Add items which will be included in search"
"AS_Your changes have been saved.";"Your changes have been saved."
"AS_Configure your items icons";"Configure your items icons"
"AS_likes";" likes"
"AS_photos";" photos"
"AS_views";" views"
"AS_members";" members"
